age_bracket_label,pop_male,pop_male_err,pop_female,pop_female_err
Under 5 years,9725644,3889,9279281,3720
5 to 9 years,10210019,22849,9728129,20323
10 to 14 years,10974635,22485,10458513,21187
15 to 19 years,11196816,6509,10683985,7066
20 to 24 years,11400730,6081,10838849,6570
25 to 29 years,11574776,5454,11099035,4512
30 to 34 years,11533188,4030,11181154,4495
35 to 39 years,11139243,21904,10869175,22739
40 to 44 years,10497372,21381,10304569,22506
45 to 49 years,10160361,4646,10086469,4564
50 to 54 years,10433237,3881,10407290,3698
55 to 59 years,10628155,19903,10907144,19158
60 to 64 years,10244115,19974,10798061,18919
65 to 69 years,8488842,15968,9375520,19271
70 to 74 years,6716886,16130,7679431,19424
75 to 79 years,4325136,13369,5393379,14196
80 to 84 years,2626186,10105,3622161,12936
85 years and over,2324957,11059,4185150,15412
